DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2021-12-19,Germany,Bundesliga,LEAGUE,2021/2022,FC Köln,VfB Stuttgart,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,12,4,8,51,2,17,3,0,5,1,4,49,1,13,1,0
2021-12-19,Germany,Bundesliga,LEAGUE,2021/2022,SC Freiburg,Bayer 04 Leverkusen,H,2,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,13,5,8,43,4,6,2,0,5,3,2,57,8,8,3,0
2022-01-07,Germany,Bundesliga,LEAGUE,2021/2022,FC Bayern München,Borussia Mönchengladbach,A,1,2,A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,19,4,15,62,6,18,0,0,12,5,7,38,6,11,1,0
2022-01-08,Germany,Bundesliga,LEAGUE,2021/2022,SpVgg Greuther Fürth,VfB Stuttgart,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,10,2,8,39,1,8,0,0,16,2,14,61,5,13,1,0
2022-01-08,Germany,Bundesliga,LEAGUE,2021/2022,TSG Hoffenheim,FC Augsburg,H,3,1,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,14,6,8,58,2,17,1,0,12,4,8,42,4,7,0,0
2022-01-08,Germany,Bundesliga,LEAGUE,2021/2022,RB Leipzig,FSV Mainz 05,H,4,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,13,7,6,69,6,6,0,0,2,1,1,31,1,10,2,1
2022-01-08,Germany,Bundesliga,LEAGUE,2021/2022,Bayer 04 Leverkusen,FC Union Berlin,D,2,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,19,8,11,65,11,8,1,0,16,5,11,35,5,11,2,0
2022-01-08,Germany,Bundesliga,LEAGUE,2021/2022,SC Freiburg,DSC Arminia Bielefeld,D,2,2,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,19,6,13,49,7,6,2,0,14,4,10,51,12,5,1,0
2022-01-08,Germany,Bundesliga,LEAGUE,2021/2022,Eintracht Frankfurt,Borussia Dortmund,A,2,3,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,12,5,7,36,4,14,3,0,19,7,12,64,11,6,2,0
2022-01-09,Germany,Bundesliga,LEAGUE,2021/2022,VfL Bochum 1848,VfL Wolfsburg,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,9,3,6,51,4,15,1,0,11,5,6,49,2,18,2,0
2022-01-09,Germany,Bundesliga,LEAGUE,2021/2022,Hertha BSC,FC Köln,A,1,3,A,0,2,N/A,N/A,N/A,N/A,N/A,N/A,8,4,4,53,10,9,3,0,11,6,5,47,4,16,1,0
2022-01-14,Germany,Bundesliga,LEAGUE,2021/2022,Borussia Dortmund,SC Freiburg,H,5,1,H,3,0,N/A,N/A,N/A,N/A,N/A,N/A,19,7,12,66,9,8,2,0,4,3,1,34,2,8,0,0
2022-01-15,Germany,Bundesliga,LEAGUE,2021/2022,FC Union Berlin,TSG Hoffenheim,H,2,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,8,5,3,42,0,10,0,0,13,5,8,58,8,11,3,0
2022-01-15,Germany,Bundesliga,LEAGUE,2021/2022,VfB Stuttgart,RB Leipzig,A,0,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,17,9,8,50,5,12,3,0,8,4,4,50,1,13,1,0
2022-01-15,Germany,Bundesliga,LEAGUE,2021/2022,FC Köln,FC Bayern München,A,0,4,A,0,2,N/A,N/A,N/A,N/A,N/A,N/A,14,4,10,50,5,6,1,0,23,9,14,50,12,11,0,0
2022-01-15,Germany,Bundesliga,LEAGUE,2021/2022,VfL Wolfsburg,Hertha BSC,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,12,0,12,47,3,12,1,0,6,1,5,53,2,12,1,0
2022-01-15,Germany,Bundesliga,LEAGUE,2021/2022,FSV Mainz 05,VfL Bochum 1848,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,18,5,13,53,7,19,3,0,11,3,8,47,3,14,3,0
2022-01-15,Germany,Bundesliga,LEAGUE,2021/2022,Borussia Mönchengladbach,Bayer 04 Leverkusen,A,1,2,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,18,6,12,55,5,8,2,0,30,9,21,45,7,18,3,0
2022-01-16,Germany,Bundesliga,LEAGUE,2021/2022,FC Augsburg,Eintracht Frankfurt,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,14,5,9,49,4,12,3,0,14,5,9,51,3,14,3,0
2022-01-16,Germany,Bundesliga,LEAGUE,2021/2022,DSC Arminia Bielefeld,SpVgg Greuther Fürth,D,2,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,13,4,9,44,3,16,4,0,7,3,4,56,5,6,1,0
2022-01-21,Germany,Bundesliga,LEAGUE,2021/2022,Eintracht Frankfurt,DSC Arminia Bielefeld,A,0,2,A,0,2,N/A,N/A,N/A,N/A,N/A,N/A,18,8,10,68,10,7,4,0,8,4,4,32,1,10,2,0
2022-01-22,Germany,Bundesliga,LEAGUE,2021/2022,TSG Hoffenheim,Borussia Dortmund,A,2,3,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,15,4,11,58,7,14,2,0,5,3,2,42,3,7,2,0
2022-01-22,Germany,Bundesliga,LEAGUE,2021/2022,SpVgg Greuther Fürth,FSV Mainz 05,H,2,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,10,6,4,42,7,12,1,0,17,4,13,58,7,15,1,0
2022-01-22,Germany,Bundesliga,LEAGUE,2021/2022,Borussia Mönchengladbach,FC Union Berlin,A,1,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,11,4,7,60,4,11,1,0,6,3,3,40,1,19,2,0
2022-01-22,Germany,Bundesliga,LEAGUE,2021/2022,Bayer 04 Leverkusen,FC Augsburg,H,5,1,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,20,11,9,67,9,8,1,0,13,5,8,33,5,7,2,0
2022-01-22,Germany,Bundesliga,LEAGUE,2021/2022,VfL Bochum 1848,FC Köln,D,2,2,A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,17,7,10,54,1,11,0,0,7,3,4,46,5,12,3,0
2022-01-22,Germany,Bundesliga,LEAGUE,2021/2022,SC Freiburg,VfB Stuttgart,H,2,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,15,6,9,50,6,12,1,0,6,1,5,50,3,7,1,0
2022-01-23,Germany,Bundesliga,LEAGUE,2021/2022,Hertha BSC,FC Bayern München,A,1,4,A,0,2,N/A,N/A,N/A,N/A,N/A,N/A,5,2,3,30,4,9,1,0,31,19,12,70,9,9,0,0
2022-01-23,Germany,Bundesliga,LEAGUE,2021/2022,RB Leipzig,VfL Wolfsburg,H,2,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,10,5,5,54,4,17,5,0,9,3,6,46,3,16,1,0
2022-02-04,Germany,Bundesliga,LEAGUE,2021/2022,Hertha BSC,VfL Bochum 1848,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,13,3,10,52,4,15,3,0,8,2,6,48,7,22,1,0
2022-02-05,Germany,Bundesliga,LEAGUE,2021/2022,FC Köln,SC Freiburg,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,13,3,10,43,8,14,2,0,16,3,13,57,8,15,2,0
2022-02-05,Germany,Bundesliga,LEAGUE,2021/2022,FC Bayern München,RB Leipzig,H,3,2,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,25,8,17,58,2,11,1,0,11,7,4,42,0,12,3,0
2022-02-05,Germany,Bundesliga,LEAGUE,2021/2022,FC Augsburg,FC Union Berlin,H,2,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,14,9,5,48,4,7,0,0,15,5,10,52,6,16,2,0
2022-02-05,Germany,Bundesliga,LEAGUE,2021/2022,DSC Arminia Bielefeld,Borussia Mönchengladbach,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,10,4,6,39,5,14,3,0,23,5,18,61,11,11,3,0
2022-02-05,Germany,Bundesliga,LEAGUE,2021/2022,FSV Mainz 05,TSG Hoffenheim,H,2,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,10,6,4,41,5,12,0,0,16,3,13,59,3,13,2,0
2022-02-05,Germany,Bundesliga,LEAGUE,2021/2022,VfB Stuttgart,Eintracht Frankfurt,A,2,3,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,15,6,9,53,3,7,0,0,15,6,9,47,14,12,0,0
2022-02-06,Germany,Bundesliga,LEAGUE,2021/2022,Borussia Dortmund,Bayer 04 Leverkusen,A,2,5,A,1,3,N/A,N/A,N/A,N/A,N/A,N/A,15,7,8,64,7,8,1,0,9,7,2,36,6,10,1,0
