Date,season,HomeTeam,AwayTeam,FTHG,FTAG,xHG,xAG,pH,pD,pA
2014-11-29 14:30:00,2014,Augsburg,Hamburger SV,3,1,2.79213,1.12309,0.8144,0.1342,0.0514
2014-11-29 14:30:00,2014,Schalke 04,Mainz 05,4,1,1.55889,2.04969,0.2395,0.2574,0.5031
2014-11-29 14:30:00,2014,Bayer Leverkusen,FC Cologne,5,1,2.37812,0.950144,0.743,0.1833,0.0737
2014-11-29 14:30:00,2014,Hertha Berlin,Bayern Munich,0,1,0.25622,1.94047,0.0276,0.1467,0.8257
2014-11-29 14:30:00,2014,Werder Bremen,Paderborn,4,0,4.47976,0.839366,0.9642,0.0275,0.0083
2014-11-29 17:30:00,2014,Hoffenheim,Hannover 96,4,3,1.99562,1.81072,0.4167,0.2545,0.3288
2014-11-30 14:30:00,2014,Wolfsburg,Borussia M.Gladbach,1,0,1.69265,0.606945,0.6741,0.2237,0.1022
2014-11-30 16:30:00,2014,Eintracht Frankfurt,Borussia Dortmund,2,0,2.21905,0.769829,0.7505,0.1681,0.0814
2014-12-05 19:30:00,2014,Borussia Dortmund,Hoffenheim,1,0,1.58062,0.202706,0.7806,0.1847,0.0347
2014-12-06 14:30:00,2014,Borussia M.Gladbach,Hertha Berlin,3,2,1.82786,1.42138,0.4659,0.313,0.2211
2014-12-06 14:30:00,2014,Hannover 96,Wolfsburg,1,3,1.6788,1.85576,0.3312,0.2523,0.4165
2014-12-06 14:30:00,2014,VfB Stuttgart,Schalke 04,0,4,0.675308,1.6953,0.1145,0.2264,0.6591
2014-12-06 14:30:00,2014,Paderborn,Freiburg,1,1,1.38276,0.883469,0.461,0.332,0.207
2014-12-06 14:30:00,2014,FC Cologne,Augsburg,1,2,1.19112,1.35221,0.2846,0.3242,0.3912
2014-12-06 17:30:00,2014,Bayern Munich,Bayer Leverkusen,1,0,0.947473,0.389245,0.5123,0.3674,0.1203
2014-12-07 14:30:00,2014,Hamburger SV,Mainz 05,2,1,2.03325,1.02472,0.6324,0.2361,0.1315
2014-12-07 16:30:00,2014,Eintracht Frankfurt,Werder Bremen,5,2,3.8335,1.44207,0.8705,0.089,0.0405
2014-12-12 19:30:00,2014,Hoffenheim,Eintracht Frankfurt,3,2,3.32968,2.42804,0.5937,0.2058,0.2005
2014-12-13 14:30:00,2014,Hertha Berlin,Borussia Dortmund,1,0,0.764752,0.842366,0.2978,0.3604,0.3418
2014-12-13 14:30:00,2014,Werder Bremen,Hannover 96,3,3,1.84609,1.54036,0.4455,0.2628,0.2917
2014-12-13 14:30:00,2014,Augsburg,Bayern Munich,0,4,0.286173,2.21868,0.0263,0.1239,0.8498
2014-12-13 14:30:00,2014,Schalke 04,FC Cologne,1,2,1.20569,1.14183,0.328,0.3576,0.3144
2014-12-13 14:30:00,2014,Freiburg,Hamburger SV,0,0,1.46439,0.518828,0.6775,0.2286,0.0939
2014-12-13 17:30:00,2014,Mainz 05,VfB Stuttgart,1,1,1.35199,0.54527,0.5826,0.2801,0.1373
2014-12-14 14:30:00,2014,Bayer Leverkusen,Borussia M.Gladbach,1,1,1.01373,1.15522,0.2963,0.3046,0.3991
2014-12-14 16:30:00,2014,Wolfsburg,Paderborn,1,1,3.22294,0.996117,0.9001,0.0793,0.0206
2014-12-16 19:00:00,2014,Hannover 96,Augsburg,2,0,1.33926,0.693534,0.5593,0.3003,0.1404
2014-12-16 19:00:00,2014,Hamburger SV,VfB Stuttgart,0,1,0.436429,1.36453,0.0994,0.2592,0.6414
2014-12-16 19:00:00,2014,FC Cologne,Mainz 05,0,0,0.541438,0.482622,0.307,0.4584,0.2346
2014-12-16 19:00:00,2014,Bayern Munich,Freiburg,2,0,2.98351,0.0497566,0.9919,0.0079,0.0002
2014-12-17 19:00:00,2014,Eintracht Frankfurt,Hertha Berlin,4,4,2.73817,2.04957,0.5398,0.2155,0.2447
2014-12-17 19:00:00,2014,Borussia Dortmund,Wolfsburg,2,2,1.30339,1.38959,0.3407,0.2787,0.3806
2014-12-17 19:00:00,2014,Borussia M.Gladbach,Werder Bremen,4,1,2.06898,0.308689,0.8889,0.0918,0.0193
2014-12-17 19:00:00,2014,Hoffenheim,Bayer Leverkusen,0,1,0.443131,2.17898,0.04,0.1259,0.8341
2014-12-17 19:00:00,2014,Paderborn,Schalke 04,1,2,1.41446,1.14959,0.4311,0.28,0.2889
2014-12-19 19:30:00,2014,Mainz 05,Bayern Munich,1,2,0.490212,0.831278,0.1975,0.3873,0.4152
2014-12-20 14:30:00,2014,Augsburg,Borussia M.Gladbach,2,1,1.65561,2.17588,0.2417,0.2465,0.5118
2014-12-20 14:30:00,2014,Werder Bremen,Borussia Dortmund,2,1,2.36795,0.602289,0.8129,0.1352,0.0519
2014-12-20 14:30:00,2014,Schalke 04,Hamburger SV,0,0,1.52587,1.3688,0.3999,0.2702,0.3299
2014-12-20 14:30:00,2014,Bayer Leverkusen,Eintracht Frankfurt,1,1,0.861769,1.45883,0.1741,0.279,0.5469
2014-12-20 14:30:00,2014,VfB Stuttgart,Paderborn,0,0,0.772123,0.933283,0.284,0.3508,0.3652
2014-12-20 17:30:00,2014,Wolfsburg,FC Cologne,2,1,0.527607,0.401914,0.3058,0.4868,0.2074
2014-12-21 14:30:00,2014,Hertha Berlin,Hoffenheim,0,5,0.706377,3.62858,0.0045,0.025,0.9705
2014-12-21 16:30:00,2014,Freiburg,Hannover 96,2,2,1.28555,1.52484,0.3144,0.2736,0.412
2015-01-30 19:30:00,2014,Wolfsburg,Bayern Munich,4,1,2.18248,1.91633,0.4452,0.2478,0.307
2015-01-31 14:30:00,2014,Mainz 05,Paderborn,5,0,2.8788,0.717538,0.8623,0.1003,0.0374
2015-01-31 14:30:00,2014,Freiburg,Eintracht Frankfurt,4,1,3.19272,1.11886,0.8616,0.1023,0.0361
